"title","genre","year","release_date","colour","duration","classification","rating","producer","director","writer","actress","synopsis"
"Loetoeng Kasaroeng","Legend",1926,NA,"BW",NA,NA,NA,"L Heuveldorp","L Heuveldorp",NA,"Martoana, Oemar","Walau dibikin oleh orang asing, tapi ini film cerita pertama di Indonesia yang menampilkan cerita asli Indonesia, sebuah legenda yang terkenal dari Jawa Barat. Antara lain berisi nasehat, janganlah memandang sesuatu dari kulitnya saja. Purbasari diejek karena punya pacar seekor lutung (Guru Minda), sedangkan kakaknya Purbararang membanggakan kekasihnya, Indrajaya yang manusia. Ternyata lutung itu sebetulnya adalah seorang pangeran tampan, titisan dewi Sunan Ambu. Guru Minda jauh lebih tampan dari Indrajaya."
"Eulis Atjih","Drama",1927,NA,"BW",NA,NA,NA,NA,"G Krugers","Joehana","Arsad, Soekria","Seorang suami meninggalkan isteri dan anak untuk berfoya-foya. Si isteri, Eulis Atjih dan anaknya hidup melarat. Di kemudian hari ia tetap menerima kembalinya (bekas) suami yang telah jatuh miskin."
"Lily van Java","Drama",1928,NA,"BW",NA,NA,NA,"Liem Goan Lian, Tjan Tjoen Lian","Nelson Wong",NA,"Lie Lian Hoa, Lie Bouw Tan, Kwee Tiang An, Yah Kwee Pang","Kisah seorang gadis anak hartawan yang oleh ayahnya dipaksa menikah dengan seorang pemuda, sedangkan gadis itu telah punya hubungan asmara dengan pemuda lain."
"Resia Boroboedoer","Adventure",1928,NA,"BW",NA,NA,NA,NA,NA,NA,"Olive Young","Young Pei Fen (Olive Young) berangkat dari Cina ke Borobudur, karena membaca warisan ayahnya, Young Lun Fah, sebuah buku rahasia (resia) candi terkenal Borobudur, yang terletak di dekat Muntilan, Jawa Tengah. Maksudnya: mengambil satu guci yang berisi abu Sang Budha Gautama. Di tempat itu ia dihalangi oleh Gandha Soewastie. Gandha dipukul hingga jatuh. Sahabatnya, Kusumo, tidak senang dan ingin membinasakan Pei Fen dengan guna-guna. Gandha menggagalkan maksud itu. Sebelum berhasil, ia jatuh pingsan oleh asap beracun. Gandha kembali menolongnya, karena ia pernah berhutang nyawa pada ayah Pei Fen. Akhirnya Pei Fen insyaf dan memutuskan jadi pendeta untuk menjaga candi itu."
"Setangan Berloemoer Darah",NA,1928,NA,"BW",NA,NA,NA,"Tan Boen Soan",NA,NA,NA,NA
"Het Groote Mekka-Feest",NA,1928,NA,NA,72,NA,NA,NA,NA,NA,NA,"Film perjalanan mengenai ibadah haji mulai dari sebuah kampung di Palembang sampai ke kota-kota di Saudi Arabia."
"Njai Dasima (I)","Drama",1929,NA,"BW",NA,NA,NA,"Tan Koen Yauw","Lie Tek Swie",NA,"N Noerhani, Anah, Wim Lender, Momo",NA
"Rampok Preanger",NA,1929,NA,"BW",NA,NA,NA,"Nelson Wong","Nelson Wong","Wong Bersaudara","Ining Resmini, MS Ferry",NA
"Si Tjonat","Action",1929,NA,"BW",NA,NA,NA,"Nelson Wong, Jo Eng Sek","Nelson Wong","FDJ Pangemanan","Lie A Tjip, Ku Fung May, Herman Sim","Nakal sejak kecil, si Tjonat (Lie A Tjip) melarikan diri ke Batavia (Jakarta) setelah membunuh temannya. Di kota ini ia menjadi jongos seorang Belanda, tapi kerjanya menggerogoti harta nyai tuan itu. Kemudian ia jadi perampok dan jatuh cinta pada Lie Gouw Nio (Ku Fung May). Karena menolak, Tjonat berusaha membawa lari Gouw Nio. Usaha jahat itu dicegah oleh Thio Sing Sang (Herman Sim) yang gagah perkasa."
"De Stem de Bloed (Njai Siti)","Drama",1930,NA,"BW",NA,NA,NA,"Kinowerk Carli, Ph Carli","Ph Carli",NA,"Annie Krohn, Sylvain, Elviera","Setelah 15 tahun di Eropa, van Kempen (Sylvain) kembali ke Jawa. Ia tak berhasil menemukan Nyai (istri piaraan) Siti serta kedua anaknya, Adolf dan Annie. Sekali waktu Ervine, anak tiri van Kempen yang dibawanya dari Eropa, nyaris celaka. Ia ditolong oleh Adolf. Kasih antara Adolf dan Ervine yang terjalin sesudahnya, membawa van Kempen kepada yang dicarinya selama ini: ""istrinya"" Siti serta kedua anaknya."
"Karnadi Anemer Bangkong",NA,1930,NA,"BW",NA,NA,10,"G Krugers","G Krugers",NA,NA,NA
"Lari Ka Arab",NA,1930,NA,"BW",NA,NA,NA,"Wong Bersaudara","Wong Bersaudara","Wong Bersaudara, Joshua Wong","Ining Resmini, RU Partasuwanda",NA
"Melati Van Agam (I dan II)","Drama",1930,NA,"BW",NA,NA,10,"Tan Koen Yauw","Lie Tek Swie","Parada Harahap","A Rachman, Neng Titi, Oemar, Bachtiar Effendy","Cerita ala Romeo dan Juliet ini berlangsung di Sumatera Barat. Kecantikan Norma menyebabkannya digelari Melati van Agam. Ia jatuh cinta pada Idrus, demikian pula sebaliknya. Tanpa sepengetahuan kedua kekasih itu, orang tua Norma telah menerima lamaran Nazarudin yang hartawan. Sesudah berumah tangga, Norma dibawa ke Kota Raja (Banda Aceh). Beberapa waktu kemudian Idrus sakit dan meninggal di Fort de Kock (Bukittinggi). Kecurigaan Nazarudin tak pernah berakhir. Anak yang dilahirkan Norma dianggap anak Idrus. Tuduhan ini membuat Norma merasa amat malu, lalu bunuh diri dan dikuburkan di sebelah makam Idrus."
"Nancy Bikin Pembalesan (Njai Dasima III)","Drama",1930,NA,"BW",NA,NA,NA,"Tan Koen Yauw","Lie Tek Swie",NA,NA,"Edward William kembali ke Hindia Belanda dari Eropa, untuk mengelola sebuah perkebunan di Banten. Ia disertai anaknya dari Dasima, Nancy. Setiba di Batavia, ia mendapat kabar bahwa Samiun (pembunuh Dasima) telah pulang dari hukuman buangnya. Nancy bermimpi jumpa Dasima, yang minta agar dia membuat pembalasan pada Samiun dan istrinya, Hayati. Samiun jatuh ke jurang, dan Hayati tertusuk pisaunya sendiri."
"Njai Dasima (II)","Drama",1930,NA,"BW",NA,NA,8,"Tan Koen Yauw","Lie Tek Swie",NA,"N Noerhani, Wim Lender, Anah, Momo","Kian lama kian dalam rasa sesal Dasima (N. Noerhani), karena meninggalkan tuannya (Wim Lender) dan anaknya Nancy (Anah) yang berusia 8 tahun. Harta yang dibawanya dari ""rumah gedungnya"" dikuras terutama oleh Hayati yang gila judi. Dasima berniat mengadukan nasibnya pada bekas tuannya. Samiun panik. Ia minta bantuan Bang Puasa (Momo) untuk membunuh Dasima. Karena ada saksi mata, tertangkaplah Bang Puasa dan Samiun. Pembunuh masuk penjara, Samiun dihukum buang."
"Si Ronda",NA,1930,NA,"BW",NA,NA,NA,"Tan Koen Yauw","Lie Tek Swie",NA,"Bachtiar Effendy, Momo","Kisah jagoan Betawi yang tidak jauh berbeda dengan kisah Si Jampang dan Si Pitung. Lihat juga Si Ronda Macan Betawi (1978)."
"Ria Rago: Pahlawan Wanita dari Lembah Ndona","Drama",1930,NA,"BW",110,NA,NA,NA,"Simon Buis SVD",NA,"Ria Rago, Rago Da’oe, Dapo Doki, Hadji Dasa, Martinus KoenoeRasio gambar 1.33:1 (4:3)Format syuting 35mm","Kisah kawin paksa a la Sitti Nurbaya. Gadis Kristen Ria Rago dari desa Noea Nelloe dipaksa nikah orangtuanya sebagai istri kedua Dapo Doki, muslim dari desa Rada Woewoe, dengan mahar yang sangat tinggi. Ria menentang pernikahan ini, karena Dapo ""kafir"" dan sudah beristri. Ria mengadu pada pastor setempat yang kemudian bersama katekisnya (guru agama) mengunjungi ayah Ria. Sia-sia."
"Atma De Vischer",NA,1931,NA,"BW",NA,NA,NA,"G Krugers",NA,NA,NA,NA
"Boenga Roos dari Tjikembang","Drama",1931,NA,"BW",NA,NA,10,"The Teng Chun","The Teng ChunPenulisKwee Tek Hoay",NA,NA,"Oh Ay Ceng, pegawai perkebunan, terpaksa melepaskan Marsiti, kekasihnya yang setia, demi mengikuti kehendak ayahnya untuk kawin dengan Gwat Nio, putri pemilik perkebunan tempatnya bekerja. Marsiti sendiri mendorong Ay Ceng untuk patuh pada kehendak orangtua. Marsiti pergi dan meninggal. Ayah Gwat Nio membuka rahasia bahwa Marsiti itu adalah anaknya dari seorang piaraannya. Dari perkawinan Ay Cheng-Gwat Nio lahir Hoey Eng alias Lily yang tumbuh jadi gadis elok. Ia dipertunangkan dengan Sim Bian Koen, anak pemilik perkebunan Tjikembang. Sesaat sebelum perkawinan berlangsung, Lily meninggal. Bian Koen sangat masygul dan akan pergi ke Kanton untuk jadi tentara. Niat ini dihalangi Ay Cheng agar bisa menghadiri peringatan kematian Lily. Suatu hari menjelang keberangkatan ke Tiongkok, Bian Koen mengunjungi perkebunan Tjikembang dan sampai di pemakaman pribumi. Tiba-tiba ia berhadapan dengan ""Lily"". Terbukalah rahasia. Yang nampak oleh Bian Koen itu bukanlah Lily, tapi Roosminah, putri Marsiti dengan Ay Cheng. Roosminah akhirnya dipersunting Bian Koen."
"Sam Pek Eng Tay","Drama",1931,NA,"BW",NA,NA,10,"The Teng Chun","The Teng ChunPenulisThe Teng Chun",NA,NA,"Cerita cinta yang dibawa mati ini adalah tentang gadis Giok Eng Tay dengan perjaka Nio Sam Pek. Ayah Eng Tay, Giok Kong Wan, adalah seorang pejabat yang demi kedudukannya akan menikahkan putrinya dengan Ma Bun Cai, putra bupati kaya. Hubungan Sam Pek dan Eng Tay dipaksa putus. Eng Tay dikurung, sedang Sam Pek dianiaya anak buahnya. Luka amat parah membuat Sam Pek meninggal. Dalam perjalanan ke rumah Bun Cai, rombongan pengantin wanita berhenti di kuburan Sam Pek. Makam merekah, sementara hujan lebat turun dan angin bertiup kencang. Eng Tay menerjunkan diri ke kuburan Sam Pek. Hujan berhenti dan angin bertiup sepoi."
"Indonesia Malaise","Comedy",1931,NA,"BW",NA,NA,NA,"Wong Bersaudara","Wong Bersaudara",NA,"MS Ferry, Oemar","Kisahnya tentang seorang gadis yang sudah punya kekasih, tapi dipaksa kawin dengan pria lain. Sang suami kemudian menyeleweng, sedang bayinya mati dan sang kekasih masuk penjara. Wanita ini jatuh sakit karena penderitaan dan rasa rindu pada kekasihnya. Ketika hampir mati, kekasih yang dirindukannya muncul. Pertemuan yang mengharukan itu diselingi banyolan pelawak Oemar. Penyakit perempuan itu sembuh setelah mendengar nyanyian keroncong Ferry. Cerita diakhiri dengan adegan percintaan Oemar dan pelayan di atas pohon karet."
"Si Pitoeng","Action",1931,NA,"BW",NA,NA,NA,"Wong Bersaudara","Wong Bersaudara",NA,"Herman Sim, Ining Resmini, Zorro","Tokoh jawara Betawi asli yang amat populer terutama lewat pentas lenong. Jagoan Rawabelong ini dipercaya bisa ""menghilang"", karena hampir selalu lolos dari kejaran polisi Belanda. Ia juga dianggap seperti Robin Hood: merampok orang kaya dan membagikan hasilnya untuk orang miskin."
"Sinjo ""Tjo"" Main Di Film",NA,1931,NA,"BW",NA,NA,NA,"Wong Bersaudara","MH Schilling",NA,"Ida Schilling, MH Schilling",NA
"Njai Dasima","Drama",1932,NA,"BW",NA,NA,NA,"Tan Koen Yauw","Bachtiar Effendy","Bachtiar Effendy","Momo, Oesman","Lihat Njai Dasima I dan Njai Dasima II."
"Raonah",NA,1932,NA,"BW",NA,NA,NA,"G Krugers","G Krugers",NA,NA,NA
"Terpaksa Menika",NA,1932,NA,"BW",NA,NA,10,"G Krugers, Tan Koen Yauw","G Krugers",NA,NA,NA
"Zuster Theresia","Drama",1932,NA,"BW",NA,NA,10,"Wong Bersaudara","MH Schilling",NA,"Carl Schilling, F Bernhard, R Diephuis, Henk Maschaup, Daisy Diephuis, Hugo de Roode, Ida Schilling, MH Schilling, Alice Heyman","Karena malaise, usaha perkebunan kecil milik Gelder (MH Scihilling) mengalami kemunduran, hingga untuk membiayai studi anak lelakinya Bob (Hugo de Roode), di Holland, Gelder jatuh ke tangan lintah darat. Nasib buruk ini masih ditambah lagi: Bob yang telah lulus dan akan kembali, mendadak meninggal. Henk Steveren (Henk Maschaup), teman studi Bob, berjanji membantu keluarga Gelder sesaat Bob akan meninggal. Henk kemudian tinggal di rumah Gelder dan kawin dengan Daisy Gelder (Daisy Diephuis), saudara Bob. Perkawinan ini gagal karena Daisy lebih suka dansa, hiburan, musik. Sebaliknya, Flora (Alice Heyman), kemenakan Henk, menaruh banyak perhatian pada Baby (Carl Schilling), anak Henk-Daisy. Daisy cemburu dan pergi ke Wijnkoopbai, Pelabuhan Ratu, untuk bunuh diri. Maka berlangsunglah perkawinan Henk-Flora. Ternyata Daisy tidak jadi bunuh diri. Ia kembali ke rumah. Perkawinan Henk-Flora pun jadi tidak syah. Flora kemudian mengabdikan diri pada gereja sebagai Zuster Theresia."
"Amorira","Drama",1932,NA,"Colour",137,NA,NA,NA,"Simon Buis SVD",NA,"Keli Kadoe, Diroe Doka, Jacobs, Waroe Wesa, Kadoe Woga, Paroe Meo, Tjeke LadjaRasio gambar 1.33:1 (4:3)Format syuting 35mm","Film ini diberi ""judul tambahan"": haat en liefde bij de bamboeboschbewoners van Borado-Likowali eiland Flores (benci dan cinta di hutan bambu Borado-Likowali, Pulau Flores). Boleh disebut film fiksi ini lebih merupakan kisah pengkatolikan penduduk sebuah desa, yang dilakukan oleh seorang pastor misionaris. Meski demikian kisah utama ini baru muncul pada paruh kedua film."
"Delapan Djago Pedang",NA,1933,NA,"BW",NA,NA,NA,"The Teng Chun","The Teng ChunPenulisThe Teng Chun",NA,NA,NA
"Pat Bie To",NA,1933,NA,"BW",NA,NA,NA,"The Teng Chun","The Teng Chun",NA,NA,NA
"Ouw Peh Tjoa","Legend",1934,NA,"BW",NA,NA,10,"The Teng Chun","The Teng Chun",NA,NA,"Dari pertapaannya, siluman ular putih menyamar sebagai perempuan cantik. Ia tertarik pada seorang laki-laki Khouw Han Boen. Mereka menikah. Belakangan Han Boen mengetahui bahwa istrinya itu seekor siluman ular putih. Karena yang memberi tahu itu seorang suhu besar, Hoat Hae Sian Soe, maka si ular putih lari ketakutan. Suhu besar mengejar dan akan membunuhnya, tapi dicegah Kwan Im yang mengatakan bahwa siluman itu sedang mengandung. Sesudah melahirkan, barulah si ular putih menyerahkan diri dan minta agar Han Boen memelihara anak mereka dengan baik."
"Ang Hai Djie",NA,1935,NA,"BW",NA,NA,NA,"The Teng Chun",NA,NA,NA,NA
"Pan Sie Tong",NA,1935,NA,"BW",NA,NA,NA,"The Teng Chun","The Teng Chun",NA,NA,NA
"Pareh","Drama",1935,NA,"BW",NA,NA,NA,"Albert Balink","Mannus Franken, Albert Balink","Albert Balink, Mannus Franken","Roegaya, T Effendy, Soekarsih, Doenaesih, Rd Mochtar","Kisah Mahmud (Rd. Mochtar), seorang pemuda dari kampung nelayan dan cintanya pada Wagini (Soekarsih), gadis petani. Sawah, pengunungan dan pemandangan alam melatarbelakangi kisah cinta ini, disertai lagu dan berbalas pantun."
"Poei Sie Giok Pa Loei Tay","Action",1935,NA,"BW",NA,NA,NA,"Jo Kim Tjan",NA,NA,NA,"Dimaksud untuk merangsang remaja agar mau belajar silat. Mengisahkan Poei Sie Giok, yang diajar bela diri sejak bocah, dan mendapat warisan ilmu yang diturunkan ibunya, Tjoei Hoa (seorang tokoh cabang atas dari aliran Siauw Lim). Dengan ilmunya Poei Sie Giok sanggup melabrak murid-murid Loei Lo Ho. Sesudah Loei Lo Ho tewas, muncul isterinya Lie Siow Hoan hendak membalas dendam. Rame! Sengit! Seroe!, begitu bunyi iklannya."
"Tie Pat Kai Kawin","Mistic",1935,NA,"BW",43,NA,NA,"The Teng Chun","The Teng Chun",NA,NA,"Pat Kai (siluman babi) turun dari gunung, dan di kota berhasil memperisteri Tjoei Lan (manusia), anak hartawan Kho Tay Kong. Karena anak mereka lahir berupa babi, Kho Tay Kong mengusir sang menantu. Pat Kai lari bersama Tjoei Lan. Kho Tay Kong minta tolong Tong Sam Tjong dan muridnya, Kha See Thian. Karena gagal menyamar sebagai Tjoei Lan, lalu Tong Sam Tjong mengubah diri jadi siluman monyet. Belakangan Kha See Thian mengubah diri jadi siluman ular, yang lantas melilit siluman babi. Pat Kai menyerah, dan sedia mengembalikan Tjoei Lan kepada Kho Tay Kong."
"Anaknja Siloeman Oeler Poeti","Mistic",1936,NA,"BW",NA,NA,NA,"The Teng Chun","The Teng Chun",NA,NA,"Anak itu merasa hidupnya dalam mimpi, karena tak jelas siapa ayahnya (yang manusia), sedang ibunya adalah siluman ular putih. Anak itu sering dimaki dan dipukuli, karena itu ia lari untuk mencari tempat hukuman sang ibu. Dalam pelariannya ia tersesat masuk hutan dan jatuh ke cengkeraman seekor monyet besar."
"Lima Siloeman Tikoes","Mistic",1936,NA,"BW",NA,NA,NA,"The Teng Chun","The Teng Chun",NA,NA,"Seorang istri jadi bingung karena tiba-tiba suaminya ada dua yang tak bisa dibedakan satu sama lain. Mana yang asli? Salah satunya adalah siluman tikus yang menyamar menjadi manusia. Untunglah datang pertolongan dari dewa Djie Lay Hoed, yang mengirim seekor kucing wasiat seukuran harimau untuk memberantas kelima siluman tikus."
"Pembakaran Bio ""Hong Lian Sie""","Action",1936,NA,"BW",NA,NA,NA,"The Teng Chun","The Teng Chun",NA,NA,"Dibakarnya bio ""Hong Lian Sie"" menimbulkan perkelahian seru antara golongan Kuen Luen Pai melawan kelompok Oen Kung Pai. Bio penuh senjata rahasia itu dikepalai oleh orang-orang jahat yang sering menganiayai kaum lemah. Di akhir cerita tokoh baik dapat memberantas semua kezaliman."
"Terang Boelan","Drama",1937,1937-12-09,"BW",NA,NA,NA,NA,"Albert Balink","Saeroen","Kartolo, Muhin, Tjitjih, ET Effendi, Rd Mochtar, Roekiah","Kasim (Rd Mochtar) dan Rohaya (Roekiah) berjanji untuk saling cinta dan setia, tapi bapak Rohaya, seorang pendeta (Muhin), menjodohkan anaknya dengan Musa (ET Effendi), seorang penyelundup. Sebelum pernikahan berlangsung, Rohaya lari bersama Kasim dari pulau tempat kediamannya, Sawoba, ke Malaka (Malaysia). Di sana mereka bertemu dengan Dullah (Kartolo). Kebahagiaan mereka tidak lama, karena terlihat oleh Musa, yang sebagai penyelundup candu menyamar jadi orang Arab bernama Syekh Ba' Abul. Datanglah bapak Rohaya yang membawa anaknya pulang. Kasim menyusul ke Sawoba, dan belakangan muncul pula Dullah, membantu. Kasim berhasil melumpuhkan Musa dalam suatu perkelahian seru."
"Gadis jang Terdjoeal","Drama",1937,NA,"BW",NA,NA,NA,"The Teng Chun","The Teng Chun",NA,NA,"Walau Han Nio telah menjalin asmara dengan Oey Koen Beng, tapi oleh ibunya yang mata duitan karena judi, gadis itu ditunangkan pada pemuda hartawan Lim Goan Tek. Kehidupan rumahtangga Han Nio - Goan Tek tidak bahagia, meski sudah punya anak perempuan, Lin Nio. Han Nio malah diusir gara-gara uang Goan Tek hilang. Padahal, yang mencuri adalah Eng Swan, kakak Han Nio. Lantaran menolong Lin Nio, Koen Beng berjumpa dengan Han Nio yang dalam keadaan sakit gawat dan kemudian meninggal. Koen Beng mencoba membalas sakit hati bekas kekasihnya itu dengan mendatangi Goan Tek. Yang terakhir ini mati ditembak Eng Swan, yang juga ingin membalaskan sakit hati Han Nio."
"Fatima","Drama",1938,NA,"BW",NA,NA,NA,"Tan Koen Yauw","Othniel Wong, Joshua Wong","Saeroen","Kartolo, Sapri, Habibah, Moesa, ET Effendi, Rd Mochtar, Roekiah","Penduduk pulau Motaro itu hidup makmur. Bunga pulau itu, Fatimah (Roekiah) menjalin cinta dengan Idris (Rd Mochtar), anak nelayan miskin. Hubungan tulus itu terganggu oleh kedatangan Ali (E. T. Effendi), yang selalu membanggakan kekayaan. Salah satu pemberian Ali kepada Fatimah, cincin, justru diserahkan oleh sang gadis kepada Idris. Cincin itulah yang membawa polisi pergi ke pulau untuk menangkap Ali, yang sebetulnya adalah kepala perampok."
"Oh Iboe","Drama",1938,NA,"BW",NA,NA,NA,NA,"The Teng Chun",NA,"Lo Tjin Nio, Bissu","Setelah istrinya meninggal dunia, Tjoa Kim Liong menikah lagi, hingga anak perempuannya, Loan, hidup di bawah ibu tiri. Kim Liong lebih memikirkan kegemarannya berjudi. Usahanya dikuasakan kepada Kian Hwat. Karena Kian Hwat tidak jujur, harta Kim Liong jatuh ke tangannya. Belakangan, harta itu bisa kembali berkat pertolongan Goan Hin, tunangan Loan."
"Tjiandjoer","Drama",1938,NA,"BW",NA,NA,NA,NA,"The Teng Chun",NA,"Lo Tjin Nio, Bissu","Meski bersaudara, sifat Kim Djin dan Kim Tjiang, adiknya, berbeda bagai bumi dan langit. Walau pemalas, Kim Tjiang disayang sang ayah, karena pandai bermulut manis. Sebaliknya si bapak, Tan Koan Liong, meremehkan Kim Djin yang rajin dan jujur. Bahkan, Kim Djin diusir sang ayah karena fitnah Kim Tjiang. Di akhir lakon, Koan Liong menyadari kekeliruannya."
"Alang-alang","Drama",1939,NA,"BW",NA,NA,NA,"The Teng Chun","The Teng Chun","The Teng Chun","Hadidjah, Moh Mochtar, Bissu, Lena, Moesa","Ketika sedang memeriksa kebun kelapanya, Suhiyat (Moch. Mochtar), anak orang kaya yang hidupnya hanya foya-foya, melihat Surati (Hadidjah) digoda Rainan (Bissoe). Ia membantu Surati. Pertolongan ini membuat janda Rasmina (Lena), yang diincar oleh Karta (Moesa), cemburu karena dia menaruh hati pada Suhiyat. Sakit hati, lalu Rasmina memberi uang Rainan untuk melarikan Surati, yang memang dicintainya. Di tengah perjalanan, Rainan terpisah dari Surati, yang selanjutnya tinggal di rimba dan menjadi sahabat para binatang. Sahabat inilah yang menolong Surati dari serangan anak buah Rainan yang penasaran. Sementara itu Suhiyat terus mencari Surati dan akhirnya berhasil mendapatkannya di hutan. Ia membebaskan Surati dari cengkeraman gerombolan Rainan. Rasmina menyesal, insyaf dan kembali kepada Karta, bekas suaminya."
"Gagak Item",NA,1939,NA,"BW",NA,NA,NA,"Tan Koen Yauw","Othniel Wong, Joshua Wong","Saeroen","Kartolo, Roekiah, Rd Mochtar",NA
"Impian di Bali","Drama",1939,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Lewat perjalanan pasangan yang sedang bercinta diperlihatkan pemandangan pulau Bali yang terkenal itu. Ditambah bumbu aksi silat seorang wanita muda, kocokan perut oleh seorang pelawak bertubuh gemuk, plus musik dan nyanyi."
"Roesia si Pengkor","Drama",1939,NA,"BW",NA,NA,NA,"The Teng Chun","The Teng Chun",NA,"Da'ing, Bissu, Hadidjah","Haji Saleh mengasingkan diri ke suatu gunung yang dianggap suci, sementara istri dan anaknya, Suti, tetap tinggal di Tangerang. Sebagai ""kembang kampung"", Suti banyak diminati pemuda, walau cuma Saari yang berkenan di hatinya. Gara-gara mencintai Suti itu Saari masuk penjara. Ia difitnah Lihin, temannya sendiri. Setelah bebas, karena ternyata tak bersalah, Saari masih menghadapi saingan lain, Usin. Terjadi perkelahian seru dalam merebut dan mempertahankan Suti. Akhirnya Saari menang. Baru belakangan diketahui bahwa Suti sering terhindar dari bahaya berkat pertolongan si Pengkor alias Haji Saleh, ayahnya sendiri."
"Siti Akbari","Drama",1939,NA,"BW",NA,NA,NA,"Tan Koen Yauw","Othniel Wong, Joshua Wong",NA,"Annie Landauw, Titing, Kartolo, Rd Mochtar, Roekiah","Pada mulanya Siti Akbari (Roekiah) mengalami keberuntungan dalam berumahtangga. Kemudian ia disia-siakan suaminya yang terpikat wanita lain, meski Siti Akbari tetap setia. Kesetiaannya berbuah kebahagiaan di akhir cerita."
"Sorga Ka Toedjoe","Drama",1940,NA,"BW",NA,NA,NA,NA,"Joshua Wong, Othniel Wong",NA,"Roekiah, Kartolo, annie landauw, Rd Djoemala, Titing, Ismail, Ramli",NA
"Rentjong Atjeh","Action",1940,NA,"BW",NA,NA,NA,"The Teng Chun","The Teng Chun","Ferry Kock","Dewi Mada, Ferry Kock, Moh Mochtar, Hadidjah, Bissu",NA
"Sorga Palsoe","Drama",1940,NA,"BW",NA,NA,NA,NA,"Tan Tjoei Hock","Fred Young","Lo Tjin Nio, Tong Hui, Lim Pun Tjiaw, Rohana",NA
"Roekihati","Drama",1940,NA,"BW",NA,NA,NA,"Tan Koen Yauw","Joshua Wong, Othniel Wong",NA,"Rd Djoemala, Roekiah, Kartolo, Annie Landouw, Titing, Ramli, Roekminah, Matheus Claro","Roekihati (Roekiah) adalah seorang gadis desa yang diperistri oleh Mansur (Djoemala), walau ayah si lelaki tidak setuju. Atas bujukan teman-teman, Mansur tertarik pada gadis kota Aminah. Walau disia-siakan, Roekihati tetap setia pada suaminya. Kelemah-lembutan Roekihati akhirnya membuat Mansur sadar akan kekeliruannya."
"Zoebaida","Drama",1940,NA,"BW",NA,NA,NA,"Tjan Hock Siong","Njoo Cheong Seng","Njoo Cheong Seng","Fifi Young, Soerip, Aisah, Sally Young, Moemoe Segara, Omar Rodriga, S Waldy, Roosmini, Aminah Mirza, M Alamsyah, I Martak, Soeaib, S Poniman, Momo Tjengkrong, Djoedjoe, Momo Poeasa, Joesoef, Soemardian",NA
"Bajar Dengan Djiwa","Drama",1940,NA,"BW",NA,NA,NA,"Ang Hock Liem","R Hu","Saeroen","A Bakar, Itjang Ali, Haroen, Oesman, Komoeng, Ijem, Rd O Parma, Moesa, Djoewariah, Oedjang, RS Fatimah, Zonder, Soelastri","Kisah dari beberapa keluarga. Antara lain Basuki (Zonder) yang banyak memikirkan masyarakat, sementara sang istri, Suryati (Nji Soelastri) hanya mementingkan urusan pribadi. Umar (Oedjang) banyak berbuat maksiat, tanpa memperdulikan teguran Supini (Nji RS Fatimah), istrinya. Ketika terlibat hutang, Umar tega menjual anak gadisnya, Djuliah (Ng R Djoewairijah) kepada Asnan (Rd O Parma), seorang lintah darat. Peristiwa ini membuat kekasih Djuliah, Ruhiyat (A Bakar), patah hati."
"Dasima","Drama",1940,NA,"BW",NA,NA,NA,"The Teng Chun, Java Industrial Film","Tan Tjoei Hock",NA,"S Soekarti, Moh Mochtar, M Sani, S Talib, Djaleha, Toehamsa, Habibah","Karena Winata disibuki oleh urusan meningkatkan penghidupan, sering timbul salah paham dengan istrinya, Dasima. Akhirnya mereka bercerai. Kemudian Dasima jadi istri Samiun, yang lebih berminat pada harta Dasima. Karena perlakuan Samiun kian semena-mena, Dasima minta cerai. Segala perhiasannya, yang dihabiskan Samiun di meja judi, minta dikembalikan. Samiun bersepakat dengan Bang Puasa untuk menyingkirkan Dasima. Ketika terkepung oleh Samiun dan Puasa di tengah jembatan, Dasima meloncat ke sungai dan meninggal. Belakangan polisi datang untuk menangkap Samiun dan Puasa."
"Harta Berdarah","Drama",1940,NA,"BW",NA,NA,NA,NA,"R Hu, Rd Ariffien","Saeroen","Soelastri, Zonder, RS Fatimah, Moesa, Oedjang, Oesman, Haroen, R Abdullah","Berbagai keburukan manusia, kekuasaan uang yang bikin penduduk sengsara, dijalin dengan cerita cinta yang halus dan memilukan. Si kaya akhirnya sadar setelah Allah menjatuhkan hukuman (dunia)Nya."
"Kartinah","Drama",1940,NA,"BW",NA,NA,NA,"The Teng Chun","Andjar Asmara","Andjar Asmara","Ratna Asmara, Astaman, RA Tjokrohandoko, M Rasjid Manggis, Inoe Perbatasari, Louise Gunter, Noer Asmara, Ali Yugo","Gara-gara anak yang amat dicintainya meninggal dunia, Titi menderita penyakit kurang ingatan. Suaminya, Suria (Astaman) mencintai perawat Kartinah (Ratna Asmara), namun tidak ingin beristri dua. Mengetahui Suria masih beristri, Kartinah menjauh. Mereka bertemu kembali ketika terjadi serangan udara. Dalam peristiwa itu, Titi kecelakaan dan meninggal dunia. Tak ada lagi penghalang bagi Suria dan Kartinah untuk membangun rumah tangga."
