"title","genre","year","release_date","colour","duration","classification","rating","producer","director","writer","actress","synopsis"
"Aku, Koran & DVD",NA,2008,NA,NA,6,NA,NA,"Asih Dewayani","Millaty Ismail","Millaty Ismail","Raja, Syifa","Abdullah dan Milla, dua anak kecil, penjaja koran dan majalah di jalanan. Suatu hari, Abdullah yang tergila-gila pada Peter Pan, secara tak sengaja melihat poster konser grup band yang terkenal itu. Keinginannya untuk menonton idolanya semakin tak tertahankan. Cara apapun rela dia tempuh demi untuk bisa menyaksikan sang idola bernyanyi, meskipun hanya melalui DVD bajakan. Fanatisme berlebihan seorang bocah laki-laki terhadap Peter Pan, mewarnai cerita ini. Tak ada yang bisa melarangnya untuk mewujudkan keinginannya ini, termasuk Milla, sahabatnya di jalanan."
"Balada Hari Raya",NA,2008,NA,NA,18,NA,NA,"Hafiz","Riezky Andhika Pradana","Riezky Andhika Pradana","Fuad Fauji",NA
"Bertemu Jen",NA,2008,NA,NA,16,NA,NA,"Hafiz","Hafiz","Hafiz","Jean Marais","“Hidup telah memberikan banyak waktu, tapi gue tidak pernah memanfaatkan waktu itu untuk hidup gue.” Jen adalah orang biasa yang punya mimpi dan cita-cita. Tapi waktu telah banyak menggerus diri Jen. Banyak yang terlewatkan. Namun, apa yang sebenarnya dilakukan Jen dalam sepuluh tahun terakhir? Perubahan rezim tak banyak mengubah hidupnya. Peristiwa sepuluh tahun silam hanyalah kenang-kenangan visual seperti saat dia hadir di hadapan Jen. Kenangan itu hanya menjadi ‘film’ ingatan tentang sebuah peristiwa. (sumber: http://9808films.wordpress.com/)"
"Di mana Saya?",NA,2008,NA,NA,10,NA,NA,"Anggun Priambodo","Anggun Priambodo","Anggun Priambodo","Ariani Darmawan, Zeke Khaseli, Sari Mochtan, Varadilla Nurdin, Agustinus Pedro, Prima Rusdi, Keke Tumbuan, Lembu Wiworo Jati","""Di Mana Saya?"" mengisahkan pengalaman sejumlah orang saat puncak peristiwa Mei 1998 terjadi. Menggunakan foto-foto dari si pencerita yang diambil di era kejadian tersebut. (sumber: http://9808films.wordpress.com/)"
"Eve Renatha",NA,2008,NA,NA,26,NA,NA,"Amelia Devina","Ronald Airlangga","Ronald Airlangga","Ocke Mulyawan R, Kristina Desiyanti, Djohar Basuki Soerotani","Eve Renatha adalah film tentang cinta. Cinta antara manusia dan manusia, juga cinta antara manusia dan film."
"Hovering Leaf",NA,2008,NA,NA,20,NA,NA,"Abdul Manaf","Rahabi Mandra","Rahabi Mandra, Damas Cendekia","Diyyo Deovanda, Almanzo Tomasoa, Ratna Ningrum","Film eksotis tentang Trisna, bocah ultracerdas yang baru berusia 10 tahun. Trisna berusaha keras memecahkan misteri ""Π"", bilangan yang menurutnya transidental dan irasional. Di balik semua itu, siapa yang menyangka kecerdasan Trisna justru berarti ancaman bagi keselamatan orang-orang terdekatnya?"
"Musisi Mencari Status",NA,2008,NA,"Colour",21,NA,NA,"Chandra Tanzil, Zakiah","Ary Agung Wibowo, Leo ZainyFormat syuting miniDV",NA,NA,"Leo anggota sebuah band cukup terkenal di Malang, Tani Maju. Di balik kepopulerannya, orangtua Leo menganggap menjadi musisi bukanlah karir yang baik. Leo makin merasa kesusahan karena orangtua (mantan) pacarnya juga berpendapat sama. Ketika kisah cinta Leo akan berakhir, ia memutuskan mengambil ‘pekerjaan sampingan’ yang dianggap layak; menjadi guru."
"Negeri Maling",NA,2008,NA,NA,20,NA,NA,"Abdul Manaf","Emil Heradi","MF Wibowo","MF Wibowo, Abdul Manaf","Keterdesakan ekonomi sering membuat seseorang melakukan hal-hal negatif yang terkadang di luar batas. Sepanjang perjalanannya, Sukrun menemui banyak bentuk kecurangan, tidak terkecuali dirinya sendiri."
"Huan Chen Guang",NA,2008,NA,NA,15,NA,NA,"Ifa Isfansyah, Tran Hoai Nam","Ifa Isfansyah","Ifa Isfansyah","Wei Lu, Luan Nan, Chen Yong Tai, Zhao Liang, Eun Jin, Bae Jun Hyuk","Chen Guang adalah perempuan China berusia 21 tahun dan tinggal di Beijing. Ibunya yang warga Indonesia wafat saat terjadi kerusuhan di bulan Mei 1998 di Jakarta. Sejak saat itu Chen Guang senantiasa mencoba menghapus keperihan yang menghantuinya dan iapun tiba di Korea. Di sana ia berjumpa dengan seorang gadis Cina seusianya. Perjalanan keduanya pun dimulai. Akankah Chen Guang menemukan kebahagiaan yang dicarinya? (sumber: http://9808films.wordpress.com/)"
"Hulahoop Soundings",NA,2008,NA,"Colour",7,NA,NA,"Meiske Taurisia","Edwin","Edwin","Ladya Cheryl, Nicholas Saputra, Heidy Trisiana TriswanFormat syuting Betacam","Lana, gadis pekerja hotel yang selalu bermain hulahoop setiap pagi di atap hotel yang datar sambil melayani obrolan telepon seks dari pelanggannya. Lana dan hulahoopnya memiliki daya tarik magis yang menarik Nico untuk melupakan yang lainnya."
"in3cities",NA,2008,NA,NA,15,NA,NA,"Cahyadalamglap Production","Samanta Limbrada, Samanta Limbrada","Samanta Limbrada","Dian Paramita, Wennie","in3cities bercerita tentang tiga orang di tiga kota berbeda, yang terhubung satu sama lain oleh kejadian yang serupa. Sebuah komparasi subjektif dari pandangan filmmakernya terhadap ketiga kota tersebut"
"Ganco Cola","Drama, Thriller",2008,NA,"Colour",13,NA,NA,"Celestinus Febrianto","Erik Wirawan","Damas Cendekia","Laila Sari, Rae AlmanzoFormat syuting 16mm","Seorang pemulung tua yang tersiksa setiap makan karena giginya sudah ompong sedangkan harga gigi palsu mahal, maka ia membutuhkan uang untuk dapat membelinya."
"Sapi Betina untuk Semua",NA,2008,NA,NA,13,NA,NA,NA,NA,NA,NA,"Sapi Betina adalah sebuah komunitas punk yang banyak menggelar aksi sosial, salah satunya menggelar workshop sablon dan cukil di daerah Pondok Kopi untuk anak-anak. Film ini mengangkat pandangan dan pemahaman yang berbeda mengenai sosok punk."
"Segelas Kopi Manis",NA,2008,NA,NA,15,NA,NA,"Kamaratas Studio Works","Fredy Aryanto","Fredy Aryanto","Septijono, Agung Chaplin, Deni Kurniawan, Bong Hengki","Apakah segelas kopi panas manis mampu menggagalkan ulah seorang mandor yang telah mengkorupsi uang dan gaji para kuli bangunannya?"
