"year","manufacturer","type","gearshift","fuel","distance","city","price"
2012,"Audi","Q3 Highest Type 2.0 T quattro ...","Otomatis","Bensin",50000,"Jakarta Pusat",295
2015,"Mercedes-Benz","CLA200 Sport AMG Tang...","Otomatis","Bensin",29000,"Jakarta Pusat",500
2014,"Mercedes-Benz","E400 AMG 3.0 Biturbo ...","Otomatis","Bensin",49300,"Jakarta Pusat",655
2000,"Audi","TT Coupe (8N) Pre Facelift 1.8...","Manual","Bensin",26000,"Jakarta Pusat",285
7500,"2018","Honda Civic Turbo Km Semua Bar...","Otomatis","Bensin",7400,"Jakarta Pusat",440
2012,"Nissan","X-Trail 2.5 ST Tangan Satu R...","Otomatis","Bensin",112000,"Kota Jakarta Pusat",140
2010,"Mazda","CX-7 2.3 GT Turbo Audio Bose ...","Otomatis","Bensin",56000,"Jakarta Pusat",185
2016,"Honda","Civic Sedan Turbo ES Prestige...","Otomatis","Bensin",23000,"Jakarta Pusat",379
2018,"Honda","CR-V Turbo Prestige A/T Sunro...","Otomatis","Bensin",17500,"Bekasi",433
2016,"Honda","HR-V E CVT A/T Hitam, Super I...","Otomatis","Bensin",20000,"Bekasi",237
2017,"Mitsubishi","Pajero Sport All New DAK...","Otomatis","Solar",31300,"Bekasi",429
2017,"Honda","HR-V 1.8 Prestige Sunroof Moo...","Otomatis","Bensin",9000,"Bekasi",298
2010,"Honda","Accord 2.4 VTIL A/T Hitam, Ma...","Otomatis","Bensin",78500,"Bekasi",158
2011,"Toyota","Corolla Altis 1.8 G A/T, Mas...","Otomatis","Bensin",118500,"Bekasi",65
2018,"Honda","CR-V Turbo Prestige Sunroof H...","Otomatis","Bensin",23000,"Bekasi",433
2013,"Toyota","Kijang Innova 2.0 V Manual B...","Manual","Bensin",57500,"Bekasi",179
2011,"Land","Rover Range Rover Vogue 5.0 SC...","Otomatis","Bensin",26000,"Kota Jkt Utara",825
2015,"Mazda","CX-5","Otomatis","Bensin",58000,"Mangga Dua Plaza",299
2018,"Honda","Jazz 1.5 RS CVT","Otomatis","Bensin",17000,"Mangga Dua Plaza",233
2015,"Honda","Freed 1.5 S","Otomatis","Bensin",63000,"Jakarta Utara",169
2018,"Honda","CR-V 1.5 Prestige Turbo At Hitam","Otomatis","Bensin",8000,"Jakarta Utara",425
2018,"Honda","CR-V 1.5 Turbo Prestige","Otomatis","Bensin",25000,"Malang",435
2016,"Yamaha","NMax","Otomatis","Bensin",37000,"Bekasi",19.5
2014,"Honda","Motorcycles Beat","Otomatis","Bensin",1,"Bekasi",11
2012,"Honda","City","Otomatis","Bensin",61000,"Kota Jakarta Barat",140
2017,"Toyota","Kijang","Otomatis","Solar",40001,"Kota Jakarta Barat",320
2017,"Honda","Mobilio","Otomatis","Bensin",15000,"Kota Jakarta Barat",175
2016,"Mazda","2","Otomatis","Bensin",25001,"Kota Jakarta Barat",200
2015,"Toyota","Rush S TRD Sportivo A/T","Otomatis","Bensin",84000,"Kota Jakarta Timur",147.5
2018,"Toyota","Calya","Otomatis","Bensin",32001,"Kota Jakarta Barat",113
2015,"Mini","Cooper","Otomatis","Bensin",16000,"Kota Jakarta Barat",560
2013,"Toyota","Rush","Manual","Bensin",35001,"Kota Jakarta Barat",138
2010,"Mercedes-Benz","E300","Otomatis","Bensin",66001,"Kota Jakarta Barat",279
2018,"Toyota","Fortuner","Otomatis","Solar",19001,"Kota Jakarta Barat",430
2015,"BMW","320i","Otomatis","Bensin",34000,"Kota Jakarta Barat",375
2019,"Toyota","Voxy","Otomatis","Bensin",10001,"Kota Jakarta Barat",405
2018,"Toyota","Kijang","Otomatis","Bensin",5001,"Kota Jakarta Barat",345
2015,"Chevrolet","Captiva","Otomatis","Solar",39000,"Kota Jakarta Barat",208
2017,"Toyota","Kijang","Otomatis","Solar",21001,"Kota Jakarta Barat",362
2015,"Toyota","Kijang Innova V","Otomatis","Bensin",70000,"Bekasi",190
2011,"Daihatsu","Gran Max 1.3 Tipe M","Manual","Bensin",1,"Mojokerto",87
2012,"Mercedes-Benz","E200","Otomatis","Bensin",89000,"Kota Jakarta Pusat",310
2016,"Toyota","Calya 1.2 G Matic Hitam","Otomatis","Bensin",30000,"Jakarta Utara",101
2011,"Daihatsu","Xenia Xi Sporty Manual","Manual","Bensin",1,"Kota SBY",98
2015,"Honda","HR-V","Otomatis","Bensin",49001,"Kota Jakarta Barat",208
2016,"Hyundai","Santa Fe","Otomatis","Solar",30001,"Kota Jakarta Barat",350
2016,"BMW","X5","Otomatis","Bensin",26000,"Kota Jakarta Barat",810
2018,"Toyota","Fortuner","Otomatis","Solar",19001,"Kota Jakarta Barat",430
2018,"BMW","320i","Otomatis","Bensin",13000,"Kota Jakarta Barat",600
2018,"Honda","Civic","Otomatis","Bensin",21000,"Kota Jakarta Barat",400
2014,"BMW","X1","Otomatis","Bensin",68000,"Kota Jakarta Barat",290
2016,"Honda","CR-V Prestige Matic","Otomatis","Bensin",40000,"Bekasi",335
2014,"Ford","Ecosport","Otomatis","Bensin",52000,"Kota Jakarta Barat",130
2012,"Kia","Rio hatchback","Otomatis","Bensin",32000,"DKI Jakarta",109
2014,"Proton","Exora","Otomatis","Bensin",25000,"Tangerang Selatan",90
2010,"Honda","CR-V AT","Otomatis","Bensin",1.22e+08,"Tangerang Selatan",130
2018,"Suzuki","Ignis GX","Otomatis","Bensin",15000,"Tangerang Selatan",125
2015,"Honda","CR-V 2.0 AT, PROMO!!! TDP 5 J...","Otomatis","Bensin",70000,"Tangerang Selatan",235
2015,"Nissan","Grand Livina XV 1.5 A/T","Otomatis","Bensin",39000,"Tangerang Selatan",125
2017,"Toyota","Sienta 1.5 G CVT, PROMO!!! T...","Otomatis","Bensin",17000,"Tangerang Selatan",160
2014,"Toyota","Avanza 1.5 G AT, PROMO!!! TD...","Otomatis","Bensin",2000,"Tangerang Selatan",125
2014,"Volkswagen","Golf TSI 1.4 AT, PROMO!!...","Otomatis","Bensin",44000,"Tangerang Selatan",260
2018,"Mitsubishi","Xpander Ultimate at","Otomatis","Bensin",22000,"Malang",236
2019,"Toyota","Calya 1.2 G M/T KM 3RB","Manual","Bensin",3000,"Malang",139
2017,"Toyota","Yaris 1.5 S TRD A/T","Otomatis","Bensin",37000,"Malang",205
2018,"Toyota","Alphard 2.4 G ATPM","Otomatis","Bensin",11000,"Malang",985
2014,"Land","Rover Range Rover Vogue 3.0","Otomatis","Solar",9397,"Kota Jkt Utara",2.05
2018,"Toyota","Rush","Otomatis","Bensin",25000,"Jakarta Utara",222
2012,"Nissan","X-Trail 2.5 ST facelift","Otomatis","Bensin",76000,"Malang",160
2013,"Daihatsu","Xenia R manual istimewa","Manual","Bensin",103000,"Depok",110
2014,"Daihatsu","Xenia X MT","Manual","Bensin",80000,"Kota Jakarta Timur",98
2011,"Jeep","Grand Cherokee 5,7 AT Overland","Manual","Bensin",56000,"Jakarta Utara",395
2009,"Mercedes-Benz","E280 A/T 7G-Tronic","Otomatis","Bensin",92000,"Jakarta Utara",190
2016,"Toyota","Fortuner VRZ 2,4 4x2 AT","Otomatis","Solar",21000,"Jakarta Utara",395
2017,"Toyota","Fortuner VRZ 4x2 AT","Otomatis","Solar",41000,"Jakarta Utara",405
2012,"Mini","Cooper 1.6 S A/T","Otomatis","Bensin",42000,"Jakarta Utara",405
2013,"Daihatsu","Terios TS Extra M/T","Manual","Bensin",86000,"Jakarta Utara",115
2011,"Jeep","Wrangler Rubicon 4D 3.8 AT","Otomatis","Bensin",46000,"Jakarta Utara",715
2013,"Mitsubishi","Pajero Sport Exceed 4x2 A/T","Otomatis","Solar",96000,"Jakarta Utara",240
2017,"Toyota","Calya 1.2 G A/T","Otomatis","Bensin",20000,"Malang",118
2014,"Toyota","Avanza All New G M/T","Manual","Bensin",69000,"Malang",128
2014,"Daihatsu","Ayla X Elegant M/T","Manual","Bensin",78000,"Malang",82
2003,"Daihatsu","Taruna 1.6 CX","Manual","Bensin",1,"Malang",65
2016,"Honda","HR-V E CVT","Otomatis","Bensin",60000,"Malang",230
2012,"Nissan","Juke RX A/T","Otomatis","Bensin",1,"Malang",128
2012,"Toyota","Kijang Innova 2.5 G M/T","Manual","Solar",1,"Malang",198
2013,"Toyota","Etios Valco E M/T","Manual","Bensin",80000,"Malang",88
2014,"Nissan","Grand Livina XV M/T","Manual","Bensin",17000,"Malang",128
2017,"Toyota","Calya","Otomatis","Bensin",16000,"ID",117
2012,"Toyota","Yaris 1.5 E A/T","Otomatis","Bensin",87000,"Malang",127
2011,"Toyota","Yaris","Otomatis","Bensin",1e+05,"Kota Jakarta Timur",110
2011,"Toyota","Yaris","Otomatis","Bensin",70000,"ID",115
2010,"Honda","Freed","Otomatis","Bensin",122000,"Kota Jakarta Timur",120
2009,"Honda","Jazz RS A/T","Otomatis","Bensin",1e+05,"Malang",135
2014,"Nissan","Grand Livina","Otomatis","Bensin",580000,"ID",128
2017,"Honda","Mobilio RS CVT","Otomatis","Bensin",30000,"Kota Jakarta Timur",177.5
2013,"Daihatsu","Xenia R Deluxe M/T","Manual","Bensin",89000,"Malang",117
2015,"Toyota","Kijang Innova","Otomatis","Bensin",60000,"ID",205
2011,"Honda","Jazz RS A/T","Otomatis","Bensin",1e+05,"Malang",145
2013,"Daihatsu","Xenia All New X M/T","Manual","Bensin",97000,"Kota Jakarta Timur",98
2014,"Toyota","Kijang Innova","Manual","Bensin",65000,"ID",185
2015,"Daihatsu","Xenia Great New X M/T","Manual","Bensin",110000,"Kota Jakarta Timur",112.5
2013,"Toyota","Etios G M/T","Manual","Bensin",76000,"Malang",88
2009,"Toyota","Kijang Innova 2.5 G A/T","Otomatis","Solar",1e+05,"Malang",160
2014,"Toyota","Avanza","Manual","Bensin",65000,"ID",126
2012,"Toyota","Camry","Otomatis","Bensin",2500,"ID",220
2016,"Toyota","Calya","Manual","Bensin",17000,"Kota Jakarta Timur",97.5
2016,"Toyota","Avanza 1.3 E M/T","Manual","Bensin",47000,"Malang",143
2015,"Ford","Ranger","Manual","Solar",70000,"ID",263
2015,"Toyota","Avanza","Otomatis","Bensin",50000,"ID",145
2012,"Suzuki","Splash 1.2 GL M/T","Manual","Bensin",1e+05,"Kota Jakarta Timur",75
2014,"Honda","Brio 1.2 S A/T","Otomatis","Bensin",70000,"Malang",113
2003,"Suzuki","Karimun GX","Manual","Bensin",1,"Malang",60
2013,"Mitsubishi","Outlander Sport","Otomatis","Bensin",60000,"ID",168
2012,"Toyota","Vios G M/T","Manual","Bensin",1e+05,"Kota Jakarta Timur",100
2012,"Nissan","Grand Livina","Otomatis","Bensin",50000,"ID",105
2012,"Honda","Freed S A/T","Otomatis","Bensin",80000,"Malang",140
2016,"Honda","Mobilio","Otomatis","Bensin",35000,"ID",167
2014,"Honda","Mobilio","Otomatis","Bensin",80000,"ID",137
2015,"Daihatsu","Ayla M M/T","Manual","Bensin",20000,"Kota Jakarta Timur",70
2014,"Honda","CR-V","Otomatis","Bensin",50000,"ID",240
2015,"Nissan","Grand Livina","Manual","Bensin",60000,"ID",127
2013,"Mitsubishi","Triton","Manual","Solar",75000,"ID",155
2007,"Suzuki","SX4","Otomatis","Bensin",120000,"ID",81
2017,"BMW","X4 2.0 Xdrive 2.8 X-Line M Sport","Otomatis","Bensin",9000,"Jakarta Utara",919
2016,"Mercedes-Benz","GLC250 Exclusive CBU","Otomatis","Bensin",17000,"Jakarta Utara",715
2017,"Toyota","Alphard 2.5 G ATPM","Otomatis","Bensin",21000,"Jakarta Utara",899
2015,"Toyota","NAV1 V Limited A/T","Otomatis","Bensin",49000,"Jakarta Utara",229
2007,"Toyota","Rush S M/T","Manual","Bensin",70000,"Jakarta Utara",125
2018,"Suzuki","Ertiga GX M/T","Manual","Bensin",17000,"Kota Jakarta Timur",147.5
2016,"Honda","Odyssey 2.4 Prestige","Otomatis","Bensin",41000,"Jakarta Utara",489
2012,"Mazda","2","Otomatis","Bensin",60000,"ID",120
2016,"Honda","Odyssey 2.4 Prestige","Otomatis","Bensin",51000,"Jakarta Utara",479
2014,"Mitsubishi","Strada","Manual","Solar",90000,"ID",170
2018,"Honda","CR-V","Otomatis","Bensin",9000,"Jakarta Utara",419
2014,"Toyota","Fortuner 2.7 G Lux TRD","Otomatis","Bensin",39000,"Jakarta Utara",289
2014,"Mitsubishi","Colt Diesel","Manual","Solar",78000,"ID",215
2016,"Toyota","Kijang Innova 2.4 V Diesel","Otomatis","Solar",37000,"Jakarta Utara",311
2014,"Honda","City","Otomatis","Bensin",95000,"ID",178
2016,"Lexus","RX 200 A/T","Otomatis","Bensin",29000,"Jakarta Utara",965
2015,"Toyota","Harrier 2.0 Premium Heater A/T","Otomatis","Bensin",49000,"Jakarta Utara",525
2016,"Daihatsu","Xenia Great New X M/T","Manual","Bensin",55000,"Kota Jakarta Timur",120
2012,"Toyota","Land Cruise...","Otomatis","Solar",29000,"Jakarta Utara",1.315
2012,"Jeep","Wrangler Jk Sport A/T","Otomatis","Bensin",31000,"Jakarta Utara",775
2006,"Honda","Jazz Vtec Sport A/T","Otomatis","Bensin",1,"Malang",99
2013,"Daihatsu","Terios TX M/T","Manual","Bensin",150000,"Kota Jakarta Timur",125
2016,"Toyota","Avanza Grand New G M/T","Manual","Bensin",55000,"Kota Jakarta Timur",145
2012,"Toyota","Camry 2.5 V A/T","Otomatis","Bensin",65000,"Jakarta Utara",229
2013,"Toyota","Kijang Innova 2.5G A/T","Otomatis","Solar",170000,"Kota Jakarta Timur",190
2016,"Toyota","Avanza Grand New E A/T","Otomatis","Bensin",40000,"Kota Jakarta Timur",125
2018,"Mercedes-Benz","S450","Otomatis","Bensin",1000,"Jakarta Utara",2.155
2012,"Daihatsu","Xenia All New R Sporty M/T","Manual","Bensin",105000,"Kota Jakarta Timur",102.5
2011,"Toyota","Kijang Innova","Otomatis","Bensin",75000,"Jakarta Utara",125
2015,"Daihatsu","Xenia Great New X M/T","Manual","Bensin",1e+05,"Kota Jakarta Timur",112.5
2013,"Chevrolet","Captiva VcDi","Otomatis","Solar",65000,"Jakarta Utara",155
2011,"Honda","CR-V 2.4 A/T","Otomatis","Bensin",95000,"Kota Jakarta Timur",155
2010,"Honda","Freed E PSD A/T","Otomatis","Bensin",86000,"Kota Jakarta Timur",120
2012,"Daihatsu","Xenia All New R Sporty M/T","Manual","Bensin",105000,"Kota Jakarta Timur",102.5
2017,"Honda","Brio Satya S M/T","Manual","Bensin",37000,"Kota Jakarta Timur",107.5
2015,"Mitsubishi","Mirage 1.2 L GLS A/T","Otomatis","Bensin",1e+05,"Kota Jakarta Timur",100
2017,"Daihatsu","Sigra 1.2 R Deluxe A/T","Otomatis","Bensin",30000,"Kota Jakarta Timur",110
2017,"Honda","Jazz All New RS A/T Super Lik...","Otomatis","Bensin",10000,"Malang",240
2008,"Toyota","Yaris E A/T","Otomatis","Bensin",80000,"Kota Jakarta Timur",90
2015,"Daihatsu","Xenia","Manual","Bensin",66956,"Bekasi",135
2013,"Honda","Freed PSD A/T","Otomatis","Bensin",33900,"Malang",183
2012,"Nissan","Grand Livina 1.5XV Highway S...","Otomatis","Bensin",80000,"Kota Jakarta Timur",97.5
2012,"Nissan","Evalia XV M/T","Manual","Bensin",1e+05,"Kota Jakarta Timur",82.5
2009,"Nissan","Serena Hws A/T","Otomatis","Bensin",125000,"Bekasi",100
2017,"Suzuki","Ignis GL M/T","Manual","Bensin",60000,"Kota Jakarta Timur",102.5
2011,"Toyota","Yaris E A/T","Otomatis","Bensin",126000,"Bekasi",115
2014,"Toyota","Rush S Trd A/T","Otomatis","Bensin",77700,"Bekasi",155
2013,"Suzuki","Ertiga GL","Manual","Bensin",80000,"Bekasi",125
2013,"Suzuki","Swift GX KM68Rb","Manual","Bensin",68000,"Malang",135
2016,"Mitsubishi","Outlander Sport 2.0 PX A/T","Otomatis","Bensin",32000,"Bekasi",225
2017,"Suzuki","Karimun Wagon R GS M/T","Manual","Bensin",9000,"Kota Jakarta Timur",87.5
2015,"Nissan","X-Trail All New 2.5 A/T","Otomatis","Bensin",61500,"Bekasi",245
2016,"Daihatsu","Xenia Great New X M/T","Manual","Bensin",45000,"Kota Jakarta Timur",132.5
2011,"Nissan","Grand Livina 1.5XV M/T","Manual","Bensin",120000,"Kota Jakarta Timur",82.5
2016,"Toyota","Avanza Grand New G M/T","Manual","Bensin",59000,"Kota Jakarta Timur",145
2017,"Toyota","Avanza Grand New 1.5Veloz M/T","Manual","Bensin",17000,"Kota Jakarta Timur",175
2014,"Toyota","Avanza All New Veloz A/T","Otomatis","Bensin",74000,"Kota Jakarta Timur",130
2009,"Toyota","Camry 2.4 G A/T KM 60RBan","Otomatis","Bensin",60000,"Kota Tgr. Sel.",135
2010,"Ford","Fiesta Tipe Trend 1.5 AT - Kna...","Otomatis","Bensin",1e+05,"Kota Tgr. Sel.",88
2013,"Toyota","Avanza All New G M/T","Manual","Bensin",190000,"Kota Jakarta Timur",105
2012,"Nissan","Evalia XV A/T","Otomatis","Bensin",81000,"Kota Jakarta Timur",90
2012,"Toyota","Vios G M/T","Manual","Bensin",90000,"Kota Jakarta Timur",100
2014,"Toyota","Fortuner G TRD 2.5 AT","Otomatis","Solar",75000,"Kota Jakarta Timur",300
2015,"Suzuki","Ertiga GX A/T","Otomatis","Bensin",80000,"Kota Jakarta Timur",130
2017,"Toyota","Calya 1.2 G A/T","Otomatis","Bensin",24000,"Kota Jakarta Timur",112.5
2015,"Toyota","Vios G A/T","Otomatis","Bensin",69000,"Kota Jakarta Timur",150
1500,"2012","Honda CR-Z Turbocc Matic - Mob...","Otomatis","Bensin",38000,"Kota Tgr. Sel.",278
2012,"Mitsubishi","Outlander Sport 2.0 PX A/T","Otomatis","Bensin",44000,"Kota Jakarta Timur",165
2016,"Suzuki","Ertiga GL M/T","Manual","Bensin",44000,"Kota Jakarta Timur",130
2018,"Toyota","Calya 1.2 E M/T","Manual","Bensin",30000,"Kota Jakarta Timur",105
2015,"Suzuki","Ertiga GL A/T","Otomatis","Bensin",75000,"Kota Jakarta Timur",125
2014,"Toyota","Avanza G 1.3 Manual","Manual","Bensin",84000,"Kota Jakarta Timur",117.5
2015,"Honda","Mobilio E Prestige AT","Otomatis","Bensin",62000,"Kota Jakarta Timur",137.5
2012,"Toyota","Yaris S Limited 1.5 AT","Otomatis","Bensin",63000,"Kota Jakarta Timur",122.5
2016,"Toyota","Agya G 1.0 Manual","Manual","Bensin",45000,"Kota Jakarta Timur",87.5
2014,"Toyota","Avanza 1.3 G A/T","Otomatis","Bensin",89000,"Kota Jakarta Timur",117.5
2015,"Toyota","Kijang Innova V Luxury 2.0 A/T","Otomatis","Bensin",50000,"Kota Jakarta Timur",195
2017,"Daihatsu","Xenia 1.3 R M/T","Manual","Bensin",48000,"Kota Jakarta Timur",127.5
2013,"Mazda","Biante 2.0 A/T","Otomatis","Bensin",98000,"Kota Jakarta Timur",160
2015,"Honda","Mobilio E CVT Prestige A/T","Otomatis","Bensin",59000,"Kota Jakarta Timur",132.5
2014,"Toyota","Kijang Innova 2.0 G Lux A/T","Otomatis","Bensin",80000,"Kota Jakarta Timur",167.5
2018,"Daihatsu","Ayla D 1.0 M/T","Manual","Bensin",3400,"Kota Jakarta Timur",80
2016,"Daihatsu","Terios Extra X 1.5 A/T","Otomatis","Bensin",67000,"Kota Jakarta Timur",140
2013,"Suzuki","Ertiga GX 1.4 M/T","Manual","Bensin",95000,"Kota Jakarta Timur",110
2016,"Suzuki","Ertiga GL 1.4 A/T","Otomatis","Bensin",69000,"Kota Jakarta Timur",135
2017,"Toyota","Calya G 1.2 A/T","Otomatis","Bensin",35000,"Kota Jakarta Timur",110
2013,"Kia","Picanto 1.2 SE A/T","Otomatis","Bensin",90000,"Kota Jakarta Timur",85
2017,"Toyota","Yaris All New...","Otomatis","Bensin",58000,"Kota Jakarta Timur",187.5
2015,"Honda","Mobilio E CVT ...","Otomatis","Bensin",73000,"Tangerang",128.5
2012,"Toyota","Rush","Otomatis","Bensin",110000,"Bekasi",135
2013,"Toyota","Kijang Innova G","Otomatis","Bensin",120000,"Bekasi",150
2005,"Toyota","Avanza G M/T","Manual","Bensin",230000,"Kota Jakarta Timur",75
2013,"Honda","CR-V 2.4 Prestige","Otomatis","Bensin",90000,"Malang",234
2016,"Suzuki","Karimun GL A/T","Otomatis","Bensin",12000,"Malang",95
2018,"Honda","Mobilio E CVT New Model","Otomatis","Bensin",1,"Malang",175
2016,"Honda","Brio 1.2 RS CVT","Otomatis","Bensin",1,"Malang",145
2015,"Honda","HR-V 1.5 S M/T","Manual","Bensin",1,"Malang",200
2018,"Toyota","Calya 1.2 G A/T","Otomatis","Bensin",1,"Malang",125
2016,"Toyota","Kijang Innova All New Reborn...","Manual","Bensin",4000,"Malang",250
2018,"Mercedes-Benz","GLE25...","Otomatis","Solar",7000,"Jakarta Selatan",1.15
2018,"Toyota","Fortuner Trd Sportivo","Otomatis","Solar",10000,"DKI Jakarta",475
2018,"Toyota","Rush S TRD Sportivo AT tdp19jt","Otomatis","Bensin",31000,"Tangerang",212
2016,"Toyota","Fortuner All New VRZ 4x2 A/T...","Otomatis","Solar",60000,"Tangerang",360
2013,"Toyota","Vios G A/T","Otomatis","Bensin",150000,"Kota Bks",140
2010,"Toyota","Camry 2.4 V Facelift Km 86 r...","Otomatis","Bensin",86000,"Jakarta Pusat",159
2011,"Daihatsu","Gran Max 1.5 Type Tertingg...","Manual","Bensin",75000,"Jl. Raya Karawaci / Imam Bonjol",89
2014,"Honda","Mobilio 1.5 E Prestige Tangan...","Otomatis","Bensin",37000,"Jakarta Pusat",139
2008,"Nissan","Murano Z50 First Generation ...","Otomatis","Bensin",90000,"Jakarta Pusat",169
2013,"Mitsubishi","Outlander Sport PX Panor...","Otomatis","Bensin",65000,"Jakarta Pusat",185
2000,"Audi","TT Coupe (8N) Pre Facelift 1.8...","Manual","Bensin",26000,"Jakarta Pusat",285
2013,"Mercedes-Benz","B200 (W246) Second Ge...","Otomatis","Bensin",52000,"Jakarta Pusat",280
2007,"Nissan","Elgrand HWS Up Grade Blackle...","Otomatis","Bensin",80200,"Jakarta Pusat",165
2014,"Mercedes-Benz","GL500...","Otomatis","Bensin",56000,"Jakarta Pusat",1.25
