"year","manufacturer","type","gearshift","fuel","distance","city","price"
2014,"TOYOTA","KIJANG INNOVA","OTOMATIS","BENSIN",101000,"JAKARTA TIMUR",1.85e+11
2007,"TOYOTA","FORTUNER","OTOMATIS","BENSIN",2e+06,"JAKARTA SELATAN",1.6e+11
2015,"DAIHATSU","AYLA","OTOMATIS","BENSIN",17000,"JAKARTA SELATAN",8.5e+10
2016,"DAIHATSU","XENIA","MANUAL","BENSIN",14000,"JAKARTA TIMUR",1.47e+11
2009,"TOYOTA","YARIS","OTOMATIS","BENSIN",90000,"TANGERANG",1.15e+11
2012,"DAIHATSU","XENIA","MANUAL","BENSIN",88000,"BEKASI",1.13e+11
2013,"TOYOTA","FORTUNER","OTOMATIS","BENSIN",51000,"JAKARTA BARAT",2.35e+11
2016,"HONDA","MOBILIO","OTOMATIS","BENSIN",41685,"BEKASI",1.47e+11
2017,"HONDA","BRIO","OTOMATIS","BENSIN",39600,"BOGOR",1.49e+11
2011,"TOYOTA","RUSH","MANUAL","BENSIN",65000,"BANDUNG",1.38e+11
2013,"HONDA","JAZZ","OTOMATIS","BENSIN",90000,"JAKARTA TIMUR",1.599e+11
2013,"TOYOTA","AVANZA","OTOMATIS","BENSIN",111000,"TANGERANG SELATAN",1.22e+11
2017,"TOYOTA","CALYA","MANUAL","BENSIN",45000,"BANDUNG",1.2e+11
2012,"TOYOTA","KIJANG INNOVA","OTOMATIS","SOLAR",157000,"TANGERANG",1.75e+11
2012,"NISSAN","GRAND","OTOMATIS","BENSIN",73100,"SLEMAN",1.18e+11
2014,"HONDA","BRIO","MANUAL","BENSIN",1e+05,"SIDOARJO",1.12e+11
2014,"TOYOTA","AGYA","OTOMATIS","BENSIN",60000,"MALANG",9.2e+10
2008,"DAIHATSU","XENIA","MANUAL","BENSIN",1e+05,"BEKASI",7.3e+10
2013,"TOYOTA","AGYA","OTOMATIS","BENSIN",50000,"BEKASI",7.8e+10
2017,"SUZUKI","ERTIGA","OTOMATIS","BENSIN",17500,"BEKASI",1.43e+11
2006,"TOYOTA","YARIS","OTOMATIS","BENSIN",1e+05,"JAKARTA TIMUR",8.5e+10
2016,"TOYOTA","AVANZA","OTOMATIS","BENSIN",52000,"BEKASI",1.43e+11
2012,"NISSAN","GRAND","OTOMATIS","BENSIN",125000,"TANGERANG SELATAN",9.7e+10
2004,"DAIHATSU","XENIA","MANUAL","BENSIN",196000,"JAKARTA TIMUR",7e+10
2015,"TOYOTA","AVANZA","MANUAL","BENSIN",125000,"TANGERANG SELATAN",1.3e+11
2015,"TOYOTA","KIJANG INNOVA","OTOMATIS","BENSIN",40000,"TANGERANG SELATAN",1.87e+11
2008,"HONDA","JAZZ","OTOMATIS","BENSIN",135000,"TANGERANG SELATAN",1e+11
2016,"HONDA","BRIO","MANUAL","BENSIN",53000,"TANGERANG",1.16e+11
2015,"HONDA","BRIO","MANUAL","BENSIN",40000,"SEMARANG",1.08e+11
2014,"MITSUBISHI","PAJERO","OTOMATIS","SOLAR",113000,"JAKARTA PUSAT",2.59e+11
2010,"HONDA","JAZZ","OTOMATIS","BENSIN",90000,"JAKARTA PUSAT",1.35e+11
2016,"HONDA","BRIO","MANUAL","BENSIN",50000,"MALANG",1.22e+11
2014,"DAIHATSU","AYLA","MANUAL","BENSIN",60000,"MALANG",8.5e+10
2004,"DAIHATSU","XENIA","MANUAL","BENSIN",180000,"MALANG",8.5e+10
2013,"DAIHATSU","AYLA","MANUAL","BENSIN",78000,"MALANG",8.8e+10
2013,"DAIHATSU","AYLA","MANUAL","BENSIN",76000,"MALANG",8.8e+10
2016,"DAIHATSU","XENIA","MANUAL","BENSIN",60000,"MALANG",1.45e+11
2013,"HONDA","BRIO","MANUAL","BENSIN",70000,"MALANG",1.15e+11
2018,"HONDA","JAZZ","OTOMATIS","BENSIN",23000,"MALANG",2.5e+11
2015,"SUZUKI","ERTIGA","MANUAL","BENSIN",70000,"MALANG",1.4e+11
2016,"TOYOTA","AVANZA","MANUAL","BENSIN",60000,"BEKASI",1.43e+11
2016,"DAIHATSU","XENIA","MANUAL","BENSIN",42000,"MALANG",1.35e+11
2017,"TOYOTA","CALYA","MANUAL","BENSIN",21000,"MALANG",1.275e+11
2015,"SUZUKI","ERTIGA","MANUAL","BENSIN",49000,"MALANG",1.5e+11
2015,"HONDA","MOBILIO","OTOMATIS","BENSIN",66000,"JAKARTA PUSAT",1.46e+11
2014,"TOYOTA","YARIS","MANUAL","BENSIN",27000,"JAKARTA PUSAT",1.28e+11
2012,"JEEP","WRANGLER","OTOMATIS","BENSIN",54000,"SURABAYA",7.75e+11
2015,"HONDA","JAZZ","OTOMATIS","BENSIN",40507,"SEMARANG",2e+11
2016,"TOYOTA","RUSH","OTOMATIS","BENSIN",43183,"SEMARANG",1.9e+11
2015,"TOYOTA","KIJANG INNOVA","MANUAL","BENSIN",68294,"SEMARANG",1.75e+11
2008,"TOYOTA","KIJANG INNOVA","MANUAL","SOLAR",158000,"SEMARANG",1.55e+11
2017,"HONDA","ODYSSEY","OTOMATIS","BENSIN",27000,"JAKARTA UTARA",5.6e+11
2011,"TOYOTA","RUSH","MANUAL","BENSIN",112813,"SUKOHARJO",1.35e+11
2015,"TOYOTA","FORTUNER","OTOMATIS","SOLAR",48516,"SUKOHARJO",3.45e+11
2017,"TOYOTA","AGYA","OTOMATIS","BENSIN",17000,"MAKASSAR",1.3e+11
2018,"TOYOTA","AVANZA","MANUAL","BENSIN",30000,"MAKASSAR",1.75e+11
2014,"TOYOTA","YARIS","OTOMATIS","BENSIN",50000,"MAKASSAR",1.6e+11
2015,"TOYOTA","AVANZA","MANUAL","BENSIN",110717,"MAKASSAR",1.45e+11
2015,"TOYOTA","AVANZA","MANUAL","BENSIN",110717,"MAKASSAR",1.45e+11
2015,"TOYOTA","AGYA","OTOMATIS","BENSIN",50000,"MAKASSAR",1.03e+11
2013,"TOYOTA","FORTUNER","MANUAL","SOLAR",110263,"MAKASSAR",2.85e+11
2015,"TOYOTA","AGYA","OTOMATIS","BENSIN",40000,"JAKARTA SELATAN",9.6e+10
